fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
Entrega inmediata,81.90 m2 total,Departamentos,2 dormitorios,1 unidad disponible,Piso 15,2 dorms.,81.90 m²,Modelo TIPO 7,Soles,"470,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1866-los-pinos-iii-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,66.90 a 103.80 m2 total,Departamentos,1 a 3 dormitorios,2 unidades disponibles,Pisos 8 y 10,2 dorms.,67.40 m²,Modelo TIPO 9,Soles,"430,880",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,66.90 a 103.80 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 18,3 dorms.,89.50 m²,Modelo TIPO 8-II,Soles,"558,950",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,66.90 a 103.80 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 19,3 dorms.,73.10 m²,Modelo TIPO 7,Soles,"458,910",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,66.90 a 103.80 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 18,3 dorms.,73.10 m²,Modelo TIPO 6-II,Soles,"458,910",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,66.90 a 103.80 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 17,2 dorms.,71.40 m²,Modelo TIPO 6-I,Soles,"448,540",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1867-vista-verde-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,69.41 a 109.15 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 19,3 dorms.,69.41 m²,Modelo X08,Soles,"443,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1993-s14-apartments-cercado-de-lima-lima-lima-urbana-perú
Entrega inmediata,74.70 a 83.80 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 9,2 dorms.,74.70 m²,Modelo TIPO 2,Soles,"465,600",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2308-smart-a-santa-beatriz-cercado-de-lima-lima-lima-grupo-mg
Entrega inmediata,37.56 a 45.18 m2 total,Departamentos,1 dormitorios,1 unidad disponible,Piso 2,1 dorms.,45.18 m²,Modelo TIPO 4A,Soles,"350,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
Entrega inmediata,37.56 a 45.18 m2 total,Departamentos,1 dormitorios,1 unidad disponible,Piso 15,1 dorms.,37.56 m²,Modelo TIPO 5A,Soles,"350,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2324-park-living-cercado-de-lima-lima-lima-eureka
