fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,1 unidad disponible,Piso 1,2 dorms.,59.20 m²,Modelo O,Soles,"528,624",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,1 unidad disponible,Piso 1,3 dorms.,89.75 m²,Modelo P,Soles,"731,903",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,1 unidad disponible,Piso 1,3 dorms.,84.66 m²,Modelo Q,Soles,"683,059",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,1 unidad disponible,Piso 2,5 dorms.,138.93 m²,Modelo N,Soles,"1,214,508",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,9 unidades disponibles,Pisos 2 al 10,1 dorms.,40.58 m²,Modelo D,Soles,"358,238",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/12/2027,40.58 a 207.28 m2 total,Departamentos,1 a 5 dormitorios,8 unidades disponibles,Pisos 2 al 9,2 dorms.,50.82 m²,Modelo E,Soles,"448,636",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4182-canela-magdalena-del-mar-lima-lima-abril-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,1 unidad disponible,Piso 1,1 dorms.,69.00 m²,Modelo 101,Soles,"467,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,1 unidad disponible,Piso 1,1 dorms.,66.70 m²,Modelo 102,Soles,"473,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,1 unidad disponible,Piso 2,3 dorms.,77.70 m²,Modelo X01,Soles,"615,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,2 unidades disponibles,Pisos 2 y 5,2 dorms.,59.30 m²,Modelo X02,Soles,"507,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,3 unidades disponibles,"Pisos 4, 5, 6",1 dorms.,40.00 m²,Modelo x03,Soles,"334,400",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
31/08/2027,40 a 152.15 m2 total,Departamentos,1 a 4 dormitorios,3 unidades disponibles,"Pisos 3, 4, 6",1 dorms.,40.00 m²,Modelo X04,Soles,"327,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4183-dibos-728-magdalena-del-mar-lima-lima-ecohabitat-grupo-inmobiliario
