fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,5 unidades disponibles,"3, 4, 5, 6, 7",2 dorm.,59.81 m2,TIPO 1A,"$ 132,717",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,11 unidades disponibles,Entre 2 al 12,3 dorm.,82.56 m2,TIPO 2A,"$ 167,471",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,7 unidades disponibles,Entre 4 al 12,2 dorm.,62.03 m2,TIPO 3A,"$ 139,126",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,4 unidades disponibles,"3, 7, 8, 10",3 dorm.,83.75 m2,TIPO 4A,"$ 183,910",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,7 unidades disponibles,Entre 2 al 13,3 dorm.,82.84 m2,TIPO 5,"$ 187,423",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,3 dorm.,94.32 m2,TIPO 6B,"$ 204,023",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,5 unidades disponibles,"3, 6, 7, 9, 11",3 dorm.,86.88 m2,TIPO 6A,"$ 185,117",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,67.34 m2,TIPO 7B,"$ 145,347",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,5 unidades disponibles,"8, 9, 11, 12, 13",2 dorm.,60.14 m2,TIPO 7A,"$ 141,834",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
"31 de Marzo, 2026",59.81 a 169.40 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3165-albamar-o2-miraflores-lima-lima-albamar-grupo-inmobiliario
