fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,11 unidades disponibles,Pisos 2 al 28,1 dorms.,26.55 m²,Modelo 1A,Soles,"238,329",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,23 unidades disponibles,Pisos 2 al 33,2 dorms.,59.34 m²,Modelo 2A,Soles,"461,268",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,29 unidades disponibles,Pisos 3 al 33,2 dorms.,59.34 m²,Modelo 3A,Soles,"496,659",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,21 unidades disponibles,Pisos 3 al 33,1 dorms.,26.49 m²,Modelo 4A,Soles,"242,652",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,27 unidades disponibles,Pisos 3 al 33,1 dorms.,38.39 m²,Modelo 5A,Soles,"329,690",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,26.49 a 75.42 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 2,2 dorms.,53.61 m²,Modelo 6C,Soles,"471,029",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4048-prado-harmony-san-isidro-lima-lima-grupo-t-c
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 1,3 dorms.,165.00 m²,Modelo X-13,Soles,"1,395,665",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,10 unidades disponibles,Pisos 2 al 13,3 dorms.,134.31 m²,Modelo X-01,Soles,"1,265,720",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,10 unidades disponibles,Pisos 2 al 13,3 dorms.,130.13 m²,Modelo X-03,Soles,"1,235,810",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,13 unidades disponibles,Pisos 2 al 16,3 dorms.,110.30 m²,Modelo X-04,Soles,"1,026,781",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,4 unidades disponibles,"Pisos 3, 4, 5, 7",2 dorms.,80.14 m²,Modelo X-05,Soles,"786,932",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,80.14 a 264 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 14,3 dorms.,134.31 m²,Modelo X-07,Soles,"1,304,940",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4056-javier-prado-oeste-2168-san-isidro-lima-lima-morada
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,1 unidad disponible,Piso 1,3 dorms.,150.23 m²,Modelo 101,Dólares,"388,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,1 unidad disponible,Piso 1,4 dorms.,241.62 m²,Modelo 102,Dólares,"669,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,1 unidad disponible,Piso 1,4 dorms.,224.93 m²,Modelo 103,Dólares,"603,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,5 unidades disponibles,"Pisos 2, 3, 4, 8, 9",2 dorms.,99.91 m²,Modelo 1,Dólares,"274,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,4 unidades disponibles,"Pisos 2, 4, 6, 8",3 dorms.,158.73 m²,Modelo 2A,Dólares,"426,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
31/12/2028,99.91 a 416.17 m2 total,Departamentos,2 a 5 dormitorios,1 unidad disponible,Piso 2,3 dorms.,174.13 m²,Modelo 3A,Dólares,"442,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4139-raices-san-isidro-lima-lima-zafira-inmobiliaria
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,13 unidades disponibles,Pisos 11 al 23,1 dorms.,46.84 m²,Modelo 1A,Soles,"335,879",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,13 unidades disponibles,Pisos 11 al 23,3 dorms.,76.66 m²,Modelo 12,Soles,"547,577",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,13 unidades disponibles,Pisos 11 al 23,2 dorms.,60.79 m²,Modelo 13,Soles,"435,912",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,8 unidades disponibles,Pisos 16 al 23,1 dorms.,44.58 m²,Modelo 5A,Soles,"332,088",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,13 unidades disponibles,Pisos 11 al 23,3 dorms.,78.29 m²,Modelo 6A,Soles,"560,855",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,44.58 a 78.29 m2 total,Departamentos,1 a 3 dormitorios,22 unidades disponibles,Pisos 11 al 32,2 dorms.,60.32 m²,Modelo 7,Soles,"429,182",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4268-vertyce-san-isidro-lima-lima-grupo-t-c
30/09/2029,427.40 a 899.98 m2 total,Oficinas,- dorms.,5 unidades disponibles,"Pisos 4, 5, 6, 7, 8",N/A,499.98 m²,Modelo 7,Soles,"887,665",https://nexoinmobiliario.pe/proyecto/venta-de-oficina-4279-vertyce-oficinas-san-isidro-lima-lima-grupo-t-c
30/09/2029,427.40 a 899.98 m2 total,Oficinas,- dorms.,5 unidades disponibles,"Pisos 4, 5, 6, 7, 8",N/A,448.99 m²,Modelo 8,Soles,"384,578",https://nexoinmobiliario.pe/proyecto/venta-de-oficina-4279-vertyce-oficinas-san-isidro-lima-lima-grupo-t-c
30/09/2029,427.40 a 899.98 m2 total,Oficinas,- dorms.,5 unidades disponibles,"Pisos 4, 5, 6, 7, 8",N/A,439.69 m²,Modelo 9,Soles,"282,890",https://nexoinmobiliario.pe/proyecto/venta-de-oficina-4279-vertyce-oficinas-san-isidro-lima-lima-grupo-t-c
30/09/2029,427.40 a 899.98 m2 total,Oficinas,- dorms.,5 unidades disponibles,"Pisos 4, 5, 6, 7, 8",N/A,464.98 m²,Modelo 1,Soles,"610,808",https://nexoinmobiliario.pe/proyecto/venta-de-oficina-4279-vertyce-oficinas-san-isidro-lima-lima-grupo-t-c
