fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
Entrega inmediata,59.97 a 74.35 m2 total,Departamentos,2 dormitorios,2 unidades disponibles,Pisos 20 y 22,2 dorms.,74.35 m²,Modelo TIPO X11,Soles,"528,612",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2340-tempo-2-la-victoria-lima-lima-urbana-perú
Entrega inmediata,59.97 a 74.35 m2 total,Departamentos,2 dormitorios,1 unidad disponible,Piso 23,2 dorms.,59.97 m²,Modelo TIPO X10-B,Soles,"435,984",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2340-tempo-2-la-victoria-lima-lima-urbana-perú
Entrega inmediata,66 a 69.50 m2 total,Departamentos,3 dormitorios,2 unidades disponibles,Pisos 2 y 14,3 dorms.,68.00 m²,Modelo A,Soles,"467,608",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2741-quatro-cor-tower-la-victoria-lima-lima-quatro-inmobiliaria
Entrega inmediata,66 a 69.50 m2 total,Departamentos,3 dormitorios,2 unidades disponibles,Pisos 21 y 22,3 dorms.,69.50 m²,Modelo C,Soles,"496,914",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2741-quatro-cor-tower-la-victoria-lima-lima-quatro-inmobiliaria
Entrega inmediata,66 a 69.50 m2 total,Departamentos,3 dormitorios,2 unidades disponibles,Pisos 2 y 5,3 dorms.,66.00 m²,Modelo E,Soles,"491,061",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2741-quatro-cor-tower-la-victoria-lima-lima-quatro-inmobiliaria
Entrega inmediata,57.84 a 77.95 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 33,2 dorms.,57.84 m²,Modelo X02,Soles,"458,067",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria
Entrega inmediata,57.84 a 77.95 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 10,3 dorms.,76.77 m²,Modelo X03,Soles,"619,971",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria
Entrega inmediata,57.84 a 77.95 m2 total,Departamentos,2 a 3 dormitorios,3 unidades disponibles,"Pisos 14, 16, 18",3 dorms.,72.66 m²,Modelo X04,Soles,"591,533",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria
Entrega inmediata,57.84 a 77.95 m2 total,Departamentos,2 a 3 dormitorios,1 unidad disponible,Piso 12,3 dorms.,77.95 m²,Modelo X05,Soles,"638,015",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria
Entrega inmediata,57.84 a 77.95 m2 total,Departamentos,2 a 3 dormitorios,7 unidades disponibles,Pisos 24 al 33,3 dorms.,67.07 m²,Modelo X10,Soles,"560,961",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2775-park-prado-la-victoria-lima-lima-gdc-inmobiliaria
