fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"31 de Mayo, 2023",78.10 a 163.50 m2,Departamento,3 a 3 dormitorios,1 unidad disponible,7,3 dorm.,78.10 m2,X02,"579,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2384-green-view-la-victoria-lima-lima-grupo-sol
"31 de Mayo, 2023",78.10 a 163.50 m2,Departamento,3 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2384-green-view-la-victoria-lima-lima-grupo-sol
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,1 y 2,3 dorm.,74.04 m2,T3A,"484,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,3 dorm.,68.42 m2,T3C,"475,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,4,2 dorm.,60.00 m2,T2B,"409,900",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"31 de Mayo, 2024",60.00 a 97.27 m2,Departamento,2 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2433-strong-la-victoria-lima-lima-pisonay-inmobiliaria
"30 de Noviembre, 2023",68.07 a 68.07 m2,Departamento,3 a 3 dormitorios,1 unidad disponible,16,3 dorm.,68.07 m2,Tipo 10,"398,282",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2439-on-apartments-etapa-2-la-victoria-lima-lima-hpc-inmobiliaria
"31 de Agosto, 2024",38.34 a 82.27 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,48.33 m2,Tipo A,"390,507",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2580-aldana-bella-la-victoria-lima-lima-stella-inmobiliaria
"31 de Agosto, 2024",38.34 a 82.27 m2,Departamento,1 a 3 dormitorios,5 unidades disponibles,"2, 3, 4, 5, 6",1 dorm.,38.34 m2,Tipo 2,"298,826",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2580-aldana-bella-la-victoria-lima-lima-stella-inmobiliaria
"31 de Agosto, 2024",38.34 a 82.27 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,2 y 4,2 dorm.,51.64 m2,Tipo 3,"388,390",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2580-aldana-bella-la-victoria-lima-lima-stella-inmobiliaria
"31 de Agosto, 2024",38.34 a 82.27 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2580-aldana-bella-la-victoria-lima-lima-stella-inmobiliaria
"31 de Agosto, 2024",38.34 a 82.27 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2580-aldana-bella-la-victoria-lima-lima-stella-inmobiliaria
"31 de Diciembre, 2024",36.42 a 68.21 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"2, 8, 10, 12",3 dorm.,67.56 m2,TIPO 7,"499,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco
"31 de Diciembre, 2024",36.42 a 68.21 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,2 y 13,3 dorm.,67.56 m2,TIPO 6,"506,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco
"31 de Diciembre, 2024",36.42 a 68.21 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,6 y 14,1 dorm.,36.42 m2,TIPO 5,"330,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco
"31 de Diciembre, 2024",36.42 a 68.21 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,14,3 dorm.,63.91 m2,TIPO 4,"522,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco
"31 de Diciembre, 2024",36.42 a 68.21 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,2 y 5,2 dorm.,58.13 m2,TIPO 1,"442,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2620-midtown-la-victoria-lima-lima-arteco
"30 de Junio, 2025",40.62 a 91.29 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,79.59 m2,SAU-B-105,"451,993",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2678-sauco-la-victoria-lima-lima-abril-grupo-inmobiliario
"30 de Junio, 2025",40.62 a 91.29 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,29,2 dorm.,63.41 m2,"SAU-B-206, 307 al 2807,2906 al 3306","362,101",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2678-sauco-la-victoria-lima-lima-abril-grupo-inmobiliario
"30 de Junio, 2025",40.62 a 91.29 m2,Departamento,1 a 3 dormitorios,20 unidades disponibles,Entre 2 al 33,3 dorm.,71.07 m2,"SAU-B-207, 308 al 2808,2907 al 3307","428,603",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2678-sauco-la-victoria-lima-lima-abril-grupo-inmobiliario
"30 de Junio, 2025",40.62 a 91.29 m2,Departamento,1 a 3 dormitorios,7 unidades disponibles,Entre 26 al 32,2 dorm.,56.46 m2,"SAU-B-208, 309 al 2809,2908 al 3208","363,977",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2678-sauco-la-victoria-lima-lima-abril-grupo-inmobiliario
"30 de Junio, 2025",40.62 a 91.29 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,13 y 14,1 dorm.,40.62 m2,"SAU-B-209, 310 al 2810,2909 al 3309","305,600",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2678-sauco-la-victoria-lima-lima-abril-grupo-inmobiliario
