fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
30/06/2027,72.22 a 186.14 m2 total,Departamentos,1 a 3 dormitorios,3 unidades disponibles,"Pisos 2, 3, 5",2 dorms.,95.17 m²,Modelo TIPO 1,Soles,"976,520",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco
30/06/2027,72.22 a 186.14 m2 total,Departamentos,1 a 3 dormitorios,5 unidades disponibles,"Pisos 2, 3, 4, 6, 7",3 dorms.,110.57 m²,Modelo TIPO 2,Soles,"1,150,890",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco
30/06/2027,72.22 a 186.14 m2 total,Departamentos,1 a 3 dormitorios,5 unidades disponibles,"Pisos 2, 3, 4, 5, 6",3 dorms.,114.14 m²,Modelo TIPO 3,Soles,"1,071,980",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco
30/06/2027,72.22 a 186.14 m2 total,Departamentos,1 a 3 dormitorios,2 unidades disponibles,Pisos 4 y 5,1 dorms.,72.22 m²,Modelo TIPO 4,Soles,"737,240",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco
30/06/2027,72.22 a 186.14 m2 total,Departamentos,1 a 3 dormitorios,5 unidades disponibles,"Pisos 1, 2, 3, 4, 5",1 dorms.,74.66 m²,Modelo TIPO 5,Soles,"758,330",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3585-nuvo-miraflores-lima-lima-constructora-inarco
30/09/2027,68 a 157.36 m2 total,Departamentos,1 a 2 dormitorios,1 unidad disponible,Piso 2,1 dorms.,80.44 m²,Modelo Tipo B6,Soles,"836,168",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica
30/09/2027,68 a 157.36 m2 total,Departamentos,1 a 2 dormitorios,1 unidad disponible,Piso 2,1 dorms.,90.48 m²,Modelo Tipo B7,Soles,"898,595",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica
30/09/2027,68 a 157.36 m2 total,Departamentos,1 a 2 dormitorios,9 unidades disponibles,Pisos 5 al 13,2 dorms.,85.03 m²,Modelo Tipo B8,Soles,"856,596",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica
30/09/2027,68 a 157.36 m2 total,Departamentos,1 a 2 dormitorios,8 unidades disponibles,Pisos 9 al 17,2 dorms.,85.05 m²,Modelo Tipo B9,Soles,"852,257",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica
30/09/2027,68 a 157.36 m2 total,Departamentos,1 a 2 dormitorios,3 unidades disponibles,"Pisos 14, 15, 16",1 dorms.,68.01 m²,Modelo Tipo B11,Soles,"813,043",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3593-monument-miraflores-lima-lima-edifica
