fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,divisa,precio,proyecto_link
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,9 unidades disponibles,Pisos 2 al 10,1 dorms.,41.97 m²,Modelo X04,Soles,"263,261",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,14 unidades disponibles,Pisos 2 al 21,2 dorms.,50.35 m²,Modelo X09,Soles,"291,833",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,12 unidades disponibles,Pisos 2 al 20,2 dorms.,54.67 m²,Modelo X10,Soles,"312,245",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,10 unidades disponibles,Pisos 2 al 12,2 dorms.,57.37 m²,Modelo X05,Soles,"369,381",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,19 unidades disponibles,Pisos 2 al 21,3 dorms.,67.76 m²,Modelo X01,Soles,"380,849",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
31/03/2028,40.31 a 134.32 m2 total,Departamentos,1 a 3 dormitorios,11 unidades disponibles,Pisos 2 al 14,3 dorms.,68.10 m²,Modelo X03,Soles,"401,446",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3886-villa-elenia-surquillo-lima-lima-grupo-caral
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,17 unidades disponibles,Pisos 2 al 28,2 dorms.,58.76 m²,Modelo X01,Soles,"400,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,15 unidades disponibles,Pisos 2 al 28,1 dorms.,40.95 m²,Modelo X02,Soles,"287,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,17 unidades disponibles,Pisos 8 al 28,3 dorms.,66.34 m²,Modelo X03,Soles,"440,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 2,2 dorms.,62.57 m²,Modelo X205,Soles,"410,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,19 unidades disponibles,Pisos 2 al 27,1 dorms.,40.00 m²,Modelo X06,Soles,"264,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/12/2028,40 a 81.66 m2 total,Departamentos,1 a 3 dormitorios,24 unidades disponibles,Pisos 2 al 27,1 dorms.,41.01 m²,Modelo X07,Soles,"266,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3914-open-marsano-surquillo-lima-lima-tale-inmobiliaria
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,6 unidades disponibles,Pisos 8 al 22,3 dorms.,65.44 m²,Modelo MORA-1-X01,Soles,"468,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,9 unidades disponibles,Pisos 3 al 11,1 dorms.,40.16 m²,Modelo MORA-1-X02,Soles,"363,600",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,4 unidades disponibles,"Pisos 4, 5, 6, 7",2 dorms.,54.69 m²,Modelo MORA-1-X03,Soles,"471,600",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,14 unidades disponibles,Pisos 4 al 22,3 dorms.,62.62 m²,Modelo MORA-1-X04,Soles,"450,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,12 unidades disponibles,Pisos 3 al 22,2 dorms.,57.86 m²,Modelo MORA-1-X06,Soles,"418,500",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
30/04/2028,40.16 a 65.44 m2 total,Departamentos,1 a 3 dormitorios,11 unidades disponibles,Pisos 4 al 22,2 dorms.,50.51 m²,Modelo MORA-1-X07,Soles,"370,800",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3944-mora-surquillo-lima-lima-abril-grupo-inmobiliario
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 1,2 dorms.,57.10 m²,Modelo TIPO 9,Soles,"469,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 1,1 dorms.,40.20 m²,Modelo TIPO 10,Soles,"346,218",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 1,1 dorms.,40.00 m²,Modelo TIPO 11,Soles,"344,496",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 1,2 dorms.,57.85 m²,Modelo TIPO 12,Soles,"475,161",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,14 unidades disponibles,Pisos 4 al 22,3 dorms.,62.65 m²,Modelo TIPO 1,Soles,"443,341",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 75.85 m2 total,Departamentos,1 a 3 dormitorios,18 unidades disponibles,Pisos 2 al 22,1 dorms.,40.20 m²,Modelo TIPO 2,Soles,"316,734",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3992-park-55-surquillo-lima-lima-grupo-binda
31/08/2028,40 a 73.63 m2 total,Departamentos,1 a 3 dormitorios,1 unidad disponible,Piso 2,1 dorms.,45.50 m²,Modelo CAP-201_V1,Soles,"302,712",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-4000-capuli-surquillo-lima-lima-abril-grupo-inmobiliario
