fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"29 de Febrero, 2024",62.85 a 88.23 m2,Departamento,2 a 2 dormitorios,15 unidades disponibles,Entre 9 al 27,2 dorm.,62.85 m2,1,"425,171",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2216-savia-pueblo-libre-lima-lima-paz
"29 de Febrero, 2024",62.85 a 88.23 m2,Departamento,2 a 2 dormitorios,11 unidades disponibles,Entre 2 al 25,2 dorm.,64.12 m2,6,"438,076",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2216-savia-pueblo-libre-lima-lima-paz
"29 de Febrero, 2024",62.85 a 88.23 m2,Departamento,2 a 2 dormitorios,7 unidades disponibles,Entre 13 al 23,2 dorm.,76.21 m2,2,"568,740",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2216-savia-pueblo-libre-lima-lima-paz
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,3 dorm.,71.60 m2,A,"512,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,3 dorm.,75.90 m2,D,"525,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,9,3 dorm.,84.00 m2,F,"585,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,5 unidades disponibles,"2, 4, 5, 8, 9",3 dorm.,73.90 m2,G,"479,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"3, 5, 7, 8",3 dorm.,72.60 m2,K,"473,500",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,6,3 dorm.,78.50 m2,O,"551,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"31 de Agosto, 2024",47.30 a 149.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2249-bravo-pueblo-libre-pueblo-libre-lima-lima-verones-grupo-inmobiliario
"15 de Abril, 2024",55.96 a 55.96 m2,Departamento,2 a 2 dormitorios,1 unidad disponible,17,2 dorm.,55.96 m2,11,"362,692",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2262-magnolia-pueblo-libre-lima-lima-paz
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,3 unidades disponibles,"4, 12, 16",3 dorm.,76.20 m2,X01 C,"460,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,5,3 dorm.,76.20 m2,X01 D,"550,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,4 y 12,3 dorm.,77.00 m2,X03 A,"525,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,7 unidades disponibles,Entre 3 al 16,2 dorm.,77.00 m2,X03 B,"515,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,2 unidades disponibles,11 y 15,3 dorm.,76.20 m2,X01 B,"515,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,10,3 dorm.,76.20 m2,X01 A,"530,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,11,3 dorm.,80.50 m2,X02 B,"584,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
"31 de Diciembre, 2024",76.20 a 80.50 m2,Departamento,2 a 3 dormitorios,1 unidad disponible,2,2 dorm.,80.50 m2,X02 A,"594,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2263-jomy-pueblo-libre-lima-lima-avenir-grupo-inmobiliario
