inmobiliaria_nombre,inmobiliaria_imagen,proyecto_nombre,proyecto_etapa,proyecto_precio,proyecto_direccion,proyecto_link,proyecto_imagen,proyecto_distrito,ubigeo_id,fecha,medidas,tipo,dormitorios
LOS PORTALES DEPARTAMENTOS,https://e.nexoinmobiliario.pe/customers/los-portales-construye-s-a-c/logo-350-20231027061808.jpg,Gran Guardia Peruana,En Construcción,234793,"Av. Guardia Peruana 851, Chorrillos",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3103-gran-guardia-peruana-chorrillos-lima-lima-los-portales-departamentos,https://e.nexoinmobiliario.pe/customers/los-portales-construye-s-a-c/3103-gran-guardia-peruana/departamentos-chorrillos-654fb15777081_xm.jpg,Chorrillos,150108,"27 de Noviembre, 2025",40.45 a 65.16 m2,Departamento,1 a 3 dormitorios
TALE INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/logo-322-20231027061807.jpg,Las Praderas,En Planos,218000,"Av. Los Faisanes 485, Chorrillos 15054",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3211-las-praderas-chorrillos-lima-lima-tale-inmobiliaria,https://e.nexoinmobiliario.pe/customers/tale-inmobiliaria/3211-las-praderas/departamentos-chorrillos-6564d080e269a_xm.jpg,Chorrillos,150108,"31 de Diciembre, 2026",38.05 a 88.58 m2,Departamento,1 a 3 dormitorios
LA MURALLA,https://e.nexoinmobiliario.pe/customers/la-muralla-inversiones-inmobiliarias-s-a-c/logo-131-20231027061801.jpg,DOLCE MARE,En Planos,268411,"Av. Bajada de Agua Dulce 131, chorrillos",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3256-dolce-mare-chorrillos-lima-lima-la-muralla,https://e.nexoinmobiliario.pe/customers/la-muralla-inversiones-inmobiliarias-s-a-c/3256-dolce-mare/departamentos-chorrillos-65ca7e56d29f7_xm.jpg,Chorrillos,150108,"30 de Abril, 2026",42.48 a 73.76 m2,Departamento,1 a 3 dormitorios
2K INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/2k-inmobiliaria/logo-530-20240221151250.jpg,MAR DE GRAU,En Planos,263000,MALECON GRAU 207,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3273-mar-de-grau-chorrillos-lima-lima-2k-inmobiliaria,https://e.nexoinmobiliario.pe/customers/2k-inmobiliaria/3273-mar-de-grau/departamentos-chorrillos-670ee97425c50_xm.jpg,Chorrillos,150108,"25 de Septiembre, 2025",33.66 a 116.59 m2,Departamento,1 a 3 dormitorios
V&V GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/logo-130-20231031163109.jpg,Gaviotas 176,En Planos,222000,"Av. Las Gaviotas 176, Chorrillos 15064",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3318-gaviotas-176-chorrillos-lima-lima-v-v-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/3318-gaviotas-176/departamentos-chorrillos-66c4d526ee0f5_xm.jpg,Chorrillos,150108,"31 de Mayo, 2027",39.31 a 68.69 m2,Departamento,1 a 3 dormitorios
VERONES GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/matier-sac/logo-340-20240205144053.jpg,Residencial Green Life,En Planos,223841,Los Gorriones 490,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3334-residencial-green-life-chorrillos-lima-lima-verones-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/matier-sac/3334-residencial-green-life/departamentos-chorrillos-661feb1079e1e_xm.jpg,Chorrillos,150108,"09 de Abril, 2026",38.50 a 84.56 m2,Departamento,1 a 3 dormitorios
AVENIR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/avenir-grupo-inmobiliario/logo-74-20231027061800.jpg,COSTAZUL,En Planos,299990,Daniel Urrea 229,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/avenir-grupo-inmobiliario/3427-costazul/departamentos-chorrillos-66bf8769cc680_xm.jpg,Chorrillos,150108,"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios
ACTUAL,https://e.nexoinmobiliario.pe/customers/actual-inmobiliaria/logo-86-20231027061800.jpg,Faisanes III,En Planos,207390,Av. Faisanes 348-chorrillos,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual,https://e.nexoinmobiliario.pe/customers/actual-inmobiliaria/3434-faisanes-iii/departamentos-chorrillos-6760a534b5f52_xm.jpg,Chorrillos,150108,"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios
ARTECO,https://e.nexoinmobiliario.pe/customers/arteco/logo-21-20231027061758.jpg,Jardines,En Planos,260000,Calle Palas Atenea 415,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3467-jardines-chorrillos-lima-lima-arteco,https://e.nexoinmobiliario.pe/customers/arteco/3467-jardines/departamentos-chorrillos-676331e935f22_xm.jpg,Chorrillos,150108,"30 de Junio, 2026",54.75 a 67.83 m2,Departamento,2 a 3 dormitorios
LA MURALLA,https://e.nexoinmobiliario.pe/customers/la-muralla-inversiones-inmobiliarias-s-a-c/logo-131-20231027061801.jpg,FLORECE ETAPA 2,En Planos,147000,"Av. Los Faisanes 222-226, Chorrillos",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3497-florece-etapa-2-chorrillos-lima-lima-la-muralla,https://e.nexoinmobiliario.pe/customers/la-muralla-inversiones-inmobiliarias-s-a-c/3497-florece-etapa-2/departamentos-chorrillos-671925a9c4a2c_xm.jpg,Chorrillos,150108,"15 de Marzo, 2027",25.24 a 92.04 m2,Departamento,1 a 3 dormitorios
PUERTA DE TIERRA,https://e.nexoinmobiliario.pe/customers/puerta-de-tierra-sa/logo-278-20231027061806.jpg,Quinta Villa,En Planos,178484,"C. Tumi 175, Lima 15067",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3535-quinta-villa-chorrillos-lima-lima-puerta-de-tierra,https://e.nexoinmobiliario.pe/customers/puerta-de-tierra-sa/3535-quinta-villa/departamentos-comas-671ff151f1b02_xm.jpg,Chorrillos,150108,"28 de Febrero, 2026",33.90 a 84.20 m2,Departamento,1 a 3 dormitorios
CASAIDEAL INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/logo-53-20231027061759.jpg,LINK,En Planos,184000,"Av. Faisanes 365, Chorrillos",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3543-link-chorrillos-lima-lima-casaideal-inmobiliaria,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/3543-link/departamentos-chorrillos-672a7007d5338_xm.jpg,Chorrillos,150108,"31 de Julio, 2027",33.60 a 92.78 m2,Departamento,1 a 3 dormitorios
FRONTERA,https://e.nexoinmobiliario.pe/customers/frontera-desarrolladora-s-a-c/logo-567-20241111103614.jpg,Olaya 535,En Planos,199900,"Av. José Olaya 535, Chorrillos ",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3555-olaya-535-chorrillos-lima-lima-frontera,https://e.nexoinmobiliario.pe/customers/frontera-desarrolladora-s-a-c/3555-olaya-535/departamentos-chorrillos-672d436bdcaa2_xm.jpg,Chorrillos,150108,"31 de Agosto, 2026",35.74 a 132.88 m2,Departamento,1 a 3 dormitorios
FRONTERA,https://e.nexoinmobiliario.pe/customers/frontera-desarrolladora-s-a-c/logo-567-20241111103614.jpg,Malecón Costa Sur 658,En Planos,247296,Malecón Costa Sur 658 chorrillos ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3557-malecon-costa-sur-658-chorrillos-lima-lima-frontera,https://e.nexoinmobiliario.pe/customers/frontera-desarrolladora-s-a-c/3557-malecon-costa-sur-658/departamentos-chorrillos-6737867b8630c_xm.jpg,Chorrillos,150108,"31 de Enero, 2027",24.52 a 118.38 m2,Departamento,1 a 3 dormitorios
LIDER,https://e.nexoinmobiliario.pe/customers/wr-s-a/logo-46-20231027061759.jpg,CUATTRO MAMBO ETAPA II,En Construcción,348600,Calle 18 S/N,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2748-cuattro-mambo-etapa-ii-comas-lima-lima-lider,https://e.nexoinmobiliario.pe/customers/wr-s-a/2748-cuattro-mambo-ii/departamentos-comas-636acdab17dba_xm.jpg,Comas,150110,"28 de Febrero, 2025",77.09 a 104.82 m2,Departamento,3 a 3 dormitorios
LIDER,https://e.nexoinmobiliario.pe/customers/wr-s-a/logo-46-20231027061759.jpg,CINNCO MAMBO ETAPA I,En Construcción,328400,Calle 18 S/N,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2984-cinnco-mambo-etapa-i-comas-lima-lima-lider,https://e.nexoinmobiliario.pe/customers/wr-s-a/2984-cinnco-mambo-etapa-i/departamentos-comas-64b9839390967_xm.jpg,Comas,150110,"01 de Agosto, 2025",73.67 a 81.26 m2,Departamento,3 a 3 dormitorios
LIDER,https://e.nexoinmobiliario.pe/customers/wr-s-a/logo-46-20231027061759.jpg,RESIDENCIAL SEISS,En Planos,239900,Calle 18 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3390-residencial-seiss-comas-lima-lima-lider,https://e.nexoinmobiliario.pe/customers/wr-s-a/3390-residencial-seiss/departamentos-comas-66886f19ba66a_xm.jpg,Comas,150110,"31 de Octubre, 2026",54.06 a 58.75 m2,Departamento,2 a 2 dormitorios
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | IN+1,Entrega Inmediata,292600,Av Gerardo Unger 3601,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2217-albamar-in-1-independencia-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/2217-albamar-in-1/departamentos-independencia-66acfa248b711_xm.jpg,Independencia,150112,"31 de Agosto, 2024",56.59 a 80.05 m2,Departamento,3 a 3 dormitorios
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | IN+2,Entrega Inmediata,305600,Av Gerardo Unger 3601,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2770-albamar-in-2-independencia-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/2770-albamar-in-2/departamentos-independencia-66ad09d919b47_xm.jpg,Independencia,150112,"31 de Agosto, 2024",49.90 a 95.55 m2,Departamento,1 a 3 dormitorios
BESCO,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/logo-68-20231027061759.jpg,NUEVA INDEPENDENCIA,En Planos,214000,"av. Industrial 3458, independencia",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3499-nueva-independencia-independencia-lima-lima-besco,https://e.nexoinmobiliario.pe/customers/besco-s-a-c/3499-nueva-independencia/departamentos-independencia-672ebaa521b43_xm.jpg,Independencia,150112,"31 de Diciembre, 2025",54.00 a 129.00 m2,Departamento,2 a 3 dormitorios
MARTE,https://e.nexoinmobiliario.pe/customers/marte-grupo-inmobiliario/logo-60-20231027061759.jpg,Ambar,Entrega Inmediata,328571,Avenida Brasil 2363,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1561-ambar-jesus-maria-lima-lima-marte,https://e.nexoinmobiliario.pe/customers/marte-grupo-inmobiliario/1561-ambar/departamentos-jesus-maria-6048f758cbb7b_xm.jpg,Jesus Maria,150113,"30 de Junio, 2024",42.00 a 87.50 m2,Departamento,1 a 3 dormitorios
CITIA,https://e.nexoinmobiliario.pe/customers/ingenieria-de-la-construccion-sac/logo-119-20231027061800.jpg,Brasil 14,Entrega Inmediata,455000,"Av. Brasil 1459, Jesús María",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1571-brasil-14-jesus-maria-lima-lima-citia,https://e.nexoinmobiliario.pe/customers/ingenieria-de-la-construccion-sac/1571-brasil-14/departamentos-jesus-maria-653c07be01273_xm.jpg,Jesus Maria,150113,"31 de Agosto, 2022",79.86 a 85.63 m2,Departamento,2 a 3 dormitorios
TORATTO GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/toratto-grupo-inmobiliario/logo-381-20231027061809.jpg,MONTEROSSO,Entrega Inmediata,519007,Jr. Coronel Zegarra N° 1045-1057,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-1940-monterosso-jesus-maria-lima-lima-toratto-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/toratto-grupo-inmobiliario/1940-monterosso/departamentos-jesus-maria-672951b90905f_xm.jpg,Jesus Maria,150113,"18 de Junio, 2022",69.56 a 69.88 m2,Departamento,2 a 2 dormitorios
DESARROLLADORA,https://e.nexoinmobiliario.pe/customers/desarrolladora/logo-43-20231027061759.jpg,SALAVERRY 571,En Construcción,373000,"Av. General Salaverry 571, Jesús María",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2116-salaverry-571-jesus-maria-lima-lima-desarrolladora,https://e.nexoinmobiliario.pe/customers/desarrolladora/2116-salaverry-571/departamentos-jesus-maria-665a6ba036e4c_xm.jpg,Jesus Maria,150113,"30 de Abril, 2025",39.77 a 75.21 m2,Departamento,1 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20240917125426.jpg,Amarelo,Entrega Inmediata,418393,Av. Brasil 2475,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2132-amarelo-jesus-maria-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/2132-amarelo/departamentos-jesus-maria-665fa31b3fa23_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2023",61.53 a 134.61 m2,Departamento,2 a 3 dormitorios
MY HOME,https://e.nexoinmobiliario.pe/customers/my-home-organizacion-inmobiliaria-sac/logo-85-20231027061800.jpg,Garzón,Entrega Inmediata,390000,Avenida General Eugenio Garzón 550 Jesús María,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2212-garzon-jesus-maria-lima-lima-my-home,https://e.nexoinmobiliario.pe/customers/my-home-organizacion-inmobiliaria-sac/2212-garzon/departamentos-jesus-maria-669024f7029a3_xm.jpg,Jesus Maria,150113,"29 de Febrero, 2024",58.59 a 83.00 m2,Departamento,2 a 3 dormitorios
CUMBRES ANDINAS,https://e.nexoinmobiliario.pe/customers/corporacion-inmobiliaria-san-andres/logo-28-20231027061758.jpg,EDIFICIO ALMAGRO PARK,En Construcción,485930,jr. Diego de Almagro 141,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2238-edificio-almagro-park-jesus-maria-lima-lima-cumbres-andinas,https://e.nexoinmobiliario.pe/customers/corporacion-inmobiliaria-san-andres/2238-edificio-almagro-park/departamentos-jesus-maria-611d7bdecb9b3_xm.jpg,Jesus Maria,150113,"30 de Junio, 2024",62.00 a 62.00 m2,Departamento,3 a 3 dormitorios
ARTECO,https://e.nexoinmobiliario.pe/customers/arteco/logo-21-20231027061758.jpg,Astoria,Entrega Inmediata,432000,Av. República de Chile 699,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2244-astoria-jesus-maria-lima-lima-arteco,https://e.nexoinmobiliario.pe/customers/arteco/2244-astoria/departamentos-jesus-maria-66e21c24c8656_xm.jpg,Jesus Maria,150113,"01 de Abril, 2024",55.51 a 67.86 m2,Departamento,2 a 3 dormitorios
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,Invent Cuba,En Construcción,352299,Av. Cuba 1142,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2251-invent-cuba-jesus-maria-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2251-invent-cuba/departamentos-jesus-maria-67096b9e8acd7_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2024",39.93 a 140.43 m2,Departamento,1 a 3 dormitorios
GRUPO SOL,https://e.nexoinmobiliario.pe/customers/gadal-inversiones-sac/logo-250-20231027061804.jpg,URBAN 642,Entrega Inmediata,349000,av. de la policía 640,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2292-urban-642-jesus-maria-lima-lima-grupo-sol,https://e.nexoinmobiliario.pe/customers/gadal-inversiones-sac/2292-urban-642/departamentos-jesus-maria-653fcd850cd88_xm.jpg,Jesus Maria,150113,"31 de Mayo, 2023",44.54 a 94.93 m2,Departamento,1 a 1 dormitorios
CASAIDEAL INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/logo-53-20231027061759.jpg,STAY,Entrega Inmediata,487000,"Av. San Felipe 537-539, Jesús María",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2299-stay-jesus-maria-lima-lima-casaideal-inmobiliaria,https://e.nexoinmobiliario.pe/customers/casaideal-s-a-c/2299-stay/departamentos-jesus-maria-6751de904a883_xm.jpg,Jesus Maria,150113,"30 de Noviembre, 2024",56.06 a 82.70 m2,Departamento,1 a 3 dormitorios
PALACE,https://e.nexoinmobiliario.pe/customers/palace-properties-peru/logo-135-20231027061801.jpg,Garden Tower,Entrega Inmediata,332105,Avenida Jose Maria Plaza 425,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2300-garden-tower-jesus-maria-lima-lima-palace,https://e.nexoinmobiliario.pe/customers/palace-properties-peru/2300-garden-tower/departamentos-jesus-maria-670803aa840b5_xm.jpg,Jesus Maria,150113,"31 de Octubre, 2023",45.35 a 75.10 m2,Departamento,1 a 3 dormitorios
VIENNA GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/vienna-constructores-sa/logo-209-20231027061803.jpg,Edificio Privia,Entrega Inmediata,428900,Av. Arenales 680,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2345-edificio-privia-jesus-maria-lima-lima-vienna-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/vienna-constructores-sa/2345-edificio-privia/departamentos-jesus-maria-665110b682c18_xm.jpg,Jesus Maria,150113,"30 de Abril, 2024",56.67 a 67.61 m2,Departamento,2 a 3 dormitorios
GRUPO CYGNUS,https://e.nexoinmobiliario.pe/customers/constructora-cygnus-s-a-c/logo-31-20241216094220.jpg,Edificio Mariategui,Entrega Inmediata,620600,AVENIDA MARIATEGUI Nº 1408,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2360-edificio-mariategui-jesus-maria-lima-lima-grupo-cygnus,https://e.nexoinmobiliario.pe/customers/constructora-cygnus-s-a-c/2360-edificio-mariategui/departamentos-jesus-maria-61a6a31917de5_xm.jpg,Jesus Maria,150113,"31 de Octubre, 2023",75.68 a 75.68 m2,Departamento,3 a 3 dormitorios
BINDA Y ASOCIADOS,https://e.nexoinmobiliario.pe/customers/binda-y-asociados/logo-12-20231027061757.jpg,Armonie - Cuba 638,En Construcción,453700,Av. Cuba 638,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2454-armonie-cuba-638-jesus-maria-lima-lima-binda-y-asociados,https://e.nexoinmobiliario.pe/customers/binda-y-asociados/2454-armonie-cuba-638/departamentos-jesus-maria-6230b32c415c7_xm.jpg,Jesus Maria,150113,"28 de Febrero, 2025",60.95 a 69.06 m2,Departamento,2 a 3 dormitorios
GRUPO TyC,https://e.nexoinmobiliario.pe/customers/grupo-tyc/logo-449-20241213103050.png,MALVA,Entrega Inmediata,426101,Av. Brasil 1775,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2502-malva-jesus-maria-lima-lima-grupo-tyc,https://e.nexoinmobiliario.pe/customers/grupo-tyc/2502-malva/departamentos-jesus-maria-66f7030566144_xm.jpg,Jesus Maria,150113,"31 de Octubre, 2023",60.33 a 78.00 m2,Departamento,2 a 3 dormitorios
GRUPO TyC,https://e.nexoinmobiliario.pe/customers/grupo-tyc/logo-449-20241213103050.png,FLAMINGO,En Construcción,389023,Av. Brasil 737.,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2507-flamingo-jesus-maria-lima-lima-grupo-tyc,https://e.nexoinmobiliario.pe/customers/grupo-tyc/2507-flamingo/departamentos-jesus-maria-627c0a217e7f2_xm.jpg,Jesus Maria,150113,"30 de Septiembre, 2024",56.36 a 79.23 m2,Departamento,2 a 3 dormitorios
NOVOARTE SOLUCIONES,https://e.nexoinmobiliario.pe/customers/novoarte-soluciones-sac/logo-253-20231027061804.jpg,Miller 1050,Entrega Inmediata,550526,Jirón Mariscal Miller 1050,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2556-miller-1050-jesus-maria-lima-lima-novoarte-soluciones,https://e.nexoinmobiliario.pe/customers/novoarte-soluciones-sac/2556-miller-1050/departamentos-jesus-maria-66ba349294f44_xm.jpg,Jesus Maria,150113,"31 de Julio, 2024",76.88 a 78.12 m2,Departamento,3 a 3 dormitorios
GRUPO TyC,https://e.nexoinmobiliario.pe/customers/grupo-tyc/logo-449-20241213103050.png,NOSSA,Entrega Inmediata,479770,Avenida Brasil 657,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2560-nossa-jesus-maria-lima-lima-grupo-tyc,https://e.nexoinmobiliario.pe/customers/grupo-tyc/2560-nossa/departamentos-jesus-maria-629e24d1affbc_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2019",72.13 a 112.94 m2,Departamento,2 a 3 dormitorios
INVENT,https://e.nexoinmobiliario.pe/customers/invent/logo-268-20231027061805.jpg,LEGADO,En Planos,305800,"Jesús María, Av San Felipe 785 -787",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2596-legado-jesus-maria-lima-lima-invent,https://e.nexoinmobiliario.pe/customers/invent/2596-legado/departamentos-jesus-maria-67096ca64c418_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2025",41.28 a 120.09 m2,Departamento,1 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20240917125426.jpg,La Foret - San Felipe,En Construcción,425965,Av. San Felipe 758,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2627-la-foret-san-felipe-jesus-maria-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/2627-la-foret-san-felipe/departamentos-jesus-maria-63bc39f6e77ed_xm.jpg,Jesus Maria,150113,"31 de Julio, 2025",58.86 a 76.34 m2,Departamento,2 a 2 dormitorios
ALBAMAR GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/logo-108-20231027061800.jpg,Albamar | View411,Entrega Inmediata,492700,"AV. FAUSTINO SÁNCHEZ CARRIÓN 411, JESÚS MARÍA",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2658-albamar-view411-jesus-maria-lima-lima-albamar-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/inmobiliaria-albamar-sac/2658-albamar-view411/departamentos-jesus-maria-673e1812d2292_xm.jpg,Jesus Maria,150113,"30 de Noviembre, 2024",57.86 a 75.54 m2,Departamento,2 a 3 dormitorios
MS INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/ms-constructores/logo-81-20231027061800.jpg,ARNALDO LIVING,En Construcción,279000,Av. Arnaldo Marquez N°1964,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2743-arnaldo-living-jesus-maria-lima-lima-ms-inmobiliaria,https://e.nexoinmobiliario.pe/customers/ms-constructores/2743-arnaldo-living/departamentos-jesus-maria-66d77f3a9b80b_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2025",36.80 a 154.00 m2,Departamento,1 a 3 dormitorios
CIUDARIS,https://e.nexoinmobiliario.pe/customers/ciudaris/logo-20-20231027061758.jpg,CIUDARIS I QUARZO,En Construcción,370000,Av. Cuba 538,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2747-ciudaris-i-quarzo-jesus-maria-lima-lima-ciudaris,https://e.nexoinmobiliario.pe/customers/ciudaris/2747-ciudaris-i-quarzo/departamentos-jesus-maria-670939bbcf54a_xm.jpg,Jesus Maria,150113,"31 de Julio, 2025",48.10 a 150.35 m2,Departamento,1 a 3 dormitorios
V&V GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/logo-130-20231031163109.jpg,SAN FELIPE 1190,En Construcción,367000,av. san felipe 1190,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2764-san-felipe-1190-jesus-maria-lima-lima-v-v-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/v-v-grupo-inmobiliario/2764-san-felipe-1190/departamentos-jesus-maria-66c4d4b87e0cf_xm.jpg,Jesus Maria,150113,"30 de Abril, 2026",47.00 a 77.50 m2,Departamento,1 a 3 dormitorios
INVERPLUS,https://e.nexoinmobiliario.pe/customers/inverplus/logo-273-20231027061805.jpg,Condominio Portofino Casa Club,En Construcción,403000,Calle Daniel Olaechea 134,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2787-condominio-portofino-casa-club-jesus-maria-lima-lima-inverplus,https://e.nexoinmobiliario.pe/customers/inverplus/2787-condominio-portofino-casa-club/departamentos-jesus-maria-66fac7e747824_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2024",42.65 a 148.13 m2,Departamento,1 a 3 dormitorios
BARQUEROS INMOBILIARIA,https://e.nexoinmobiliario.pe/customers/grupo-inmobiliario-barqueros/logo-207-20231027061803.jpg,Residencial Brío,En Construcción,416997,Tizon y Bueno 765,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2788-residencial-brio-jesus-maria-lima-lima-barqueros-inmobiliaria,https://e.nexoinmobiliario.pe/customers/grupo-inmobiliario-barqueros/2788-residencial-brio/departamentos-jesus-maria-64fa14f98857b_xm.jpg,Jesus Maria,150113,"30 de Junio, 2025",53.80 a 93.30 m2,Departamento,2 a 3 dormitorios
SAN CHARBEL EDIFICACIONES,https://e.nexoinmobiliario.pe/customers/san-charbel/logo-29-20240627102727.jpg,Botanika,En Construcción,232140,Av. Garzón 2160,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2841-botanika-jesus-maria-lima-lima-san-charbel-edificaciones,https://e.nexoinmobiliario.pe/customers/san-charbel/2841-botanika/departamentos-jesus-maria-6408f26ac1bec_xm.jpg,Jesus Maria,150113,"30 de Noviembre, 2025",29.40 a 120.18 m2,Departamento,1 a 3 dormitorios
VIVE PLM,https://e.nexoinmobiliario.pe/customers/vive-plm/logo-483-20230227163325.jpeg,San Felipe Towers,Entrega Inmediata,428400,Av. San Felipe 720 esquina Jr. Huascar,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2846-san-felipe-towers-jesus-maria-lima-lima-vive-plm,https://e.nexoinmobiliario.pe/customers/vive-plm/2846-san-felipe-towers/departamentos-jesus-maria-640227fbb5efc_xm.jpg,Jesus Maria,150113,"31 de Agosto, 2024",50.10 a 90.80 m2,Departamento,1 a 3 dormitorios
ABRIL GRUPO INMOBILIARIO,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/logo-426-20240917125426.jpg,Astromelia,En Construcción,437082,Av. Salaverry 1880 ,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2852-astromelia-jesus-maria-lima-lima-abril-grupo-inmobiliario,https://e.nexoinmobiliario.pe/customers/abril-grupo-inmobiliario-ft/2852-astromelia/departamentos-jesus-maria-64020c2ddc85c_xm.jpg,Jesus Maria,150113,"31 de Diciembre, 2025",61.78 a 81.94 m2,Departamento,2 a 3 dormitorios
