inmobiliaria_nombre,proyecto_nombre,proyecto_etapa,proyecto_direccion,proyecto_distrito,ubigeo_id,latitude,longitude,hospital,supermarket,transit_station,school,university,bank,restaurant,fecha,proyecto_tipo,proyecto_medidas,proyecto_dormitorios,dep_disponibilidad,dep_piso,dep_dormitorios,dep_area,dep_modelo,dep_precio
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,5 unidades disponibles,"2, 3, 7, 9, 11",3 dorm.,59.30 m2,TIPO 5-I,374730
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,2 unidades disponibles,6 y 8,3 dorm.,59.30 m2,TIPO 4,380660
GRUPO MG,Edificio Vista Verde,Entrega Inmediata,Jr. Torres Paz 834,Cercado de lima,150101,-12.0720063,-77.0321308,3,3,3,3,3,3,3,"31 de Octubre, 2023",Departamento,55.00 a 119.00 m2,1 a 3 dormitorios,1 unidad disponible,2,3 dorm.,61.00 m2,TIPO 3-I,402360
CONSTRUCTORA INARCO,Villa Campiña,Entrega Inmediata,Jr. Juno 184,Chorrillos,150108,-12.180171,-77.0045918,3,3,3,3,3,3,3,"30 de Diciembre, 2021",Departamento,65.06 a 65.06 m2,3 a 3 dormitorios,1 unidad disponible,3,3 dorm.,65.06 m2,TIPO 10,350000
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,3,3 dorm.,63.31 m2,TIPO TA-5,330705
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,7,3 dorm.,64.97 m2,TIPO TB-3,314249
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,1 unidad disponible,10,3 dorm.,66.48 m2,TIPO TC-5,338571
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,2 unidades disponibles,10 y 12,3 dorm.,65.15 m2,TIPO TC-6,330276
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,3 unidades disponibles,"8, 10, 11",3 dorm.,65.15 m2,TIPO TC-7,330395
LA VENTUROSA,Condominio Felizia,Entrega Inmediata,Av. Los Faisanes 327,Chorrillos,150108,-12.1783328,-77.0003629,2,2,2,2,2,2,2,"31 de Diciembre, 2023",Departamento,63.31 a 66.48 m2,2 a 3 dormitorios,3 unidades disponibles,"8, 10, 11",3 dorm.,66.48 m2,TIPO TC-8,336937
