fecha,medidas,tipo,dormitorios,disponible,piso,dormitorios_cont,area,modelo,precio,proyecto_link
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,71.90 m2,102,"691,480",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 2 al 7,2 dorm.,54.00 m2,X01,"462,000",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,6 unidades disponibles,Entre 2 al 7,2 dorm.,59.00 m2,X02,"555,100",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"3, 4, 6, 7",2 dorm.,55.00 m2,X03,"596,500",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,5 unidades disponibles,"2, 3, 4, 5, 6",1 dorm.,42.40 m2,X04,"432,800",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,3 unidades disponibles,"2, 3, 4",1 dorm.,23.00 m2,X05,"299,990",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,4 unidades disponibles,"2, 4, 6, 7",3 dorm.,69.60 m2,X06A,"656,400",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,2 unidades disponibles,3 y 5,3 dorm.,69.60 m2,X06B,"656,400",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"01 de Junio, 2026",23.00 a 71.90 m2,Departamento,1 a 3 dormitorios,,,,,,,https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3427-costazul-chorrillos-lima-lima-avenir-grupo-inmobiliario
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,1 dorm.,56.36 m2,A101,"273,700",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,3 dorm.,134.73 m2,A103,"561,090",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,2 dorm.,108.19 m2,A105,"461,630",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,1 unidad disponible,1,3 dorm.,101.57 m2,A107,"467,830",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,14 unidades disponibles,Entre 2 al 15,1 dorm.,39.32 m2,A1,"223,040",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,14 unidades disponibles,Entre 2 al 15,1 dorm.,38.74 m2,A2,"219,780",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
"31 de Agosto, 2027",35.75 a 134.73 m2,Departamento,1 a 3 dormitorios,14 unidades disponibles,Entre 2 al 15,2 dorm.,54.68 m2,A3,"279,350",https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3434-faisanes-iii-chorrillos-lima-lima-actual
